segment_value,transformed_feature,base_feature,importance
Flat,cat__Transaction_Name_infrequent_sklearn,Transaction_Name,0.0018270773580297828
Flat,num__facility_group_health_count_1km,facility_group_health_count_1km,0.0018186435336247087
Flat,cat__GP_GOPALPUR,GP,0.0017610059585422277
Flat,cat__Road_Name_Sarat Pally Road,Road_Name,0.0017551410710439086
Flat,cat__Road_code_0446,Road_code,0.0016957157058641315
Flat,cat__Mouza_Name_Tetikhola,Mouza_Name,0.0016704096924513578
Flat,cat__Road_Name_UMR W8,Road_Name,0.0016558862989768386
Flat,"cat__Transaction_Name_[0310] Mortgage, Mortgage without Possession by others",Transaction_Name,0.0015979476738721132
Flat,cat__Road_code_0012,Road_code,0.0015932255191728473
Flat,cat__PS_Name_Panchla,PS_Name,0.001561186509206891
Flat,cat__Transaction_code_310,Transaction_code,0.001520270830951631
Flat,cat__Zone_no_4,Zone_no,0.0015179230831563473
Flat,cat__Road_Name_Vivekananda college Rd,Road_Name,0.0015147184021770954
Flat,cat__Mouza_Name_Kannduya,Mouza_Name,0.001500639133155346
Flat,cat__Mouza_Name_Mirjapur,Mouza_Name,0.0014280666364356875
Flat,"cat__Transaction_Name_[0403] Lease, Lease",Transaction_Name,0.0014161157887429
Flat,cat__Urban_No,Urban,0.0013794607948511839
Flat,"cat__Transaction_Name_[0901] Declaration, Declaration relating to immovable property",Transaction_Name,0.0013139420188963413
Flat,"cat__Transaction_Name_[0207] Gift, Gift in f/o family members and others",Transaction_Name,0.001309452229179442
Flat,cat__Mouza_Name_Dhulagori,Mouza_Name,0.0012882481096312404
Flat,cat__Mouza_Name_Bhagabatipur,Mouza_Name,0.0012200947385281324
Flat,cat__Mouza_Name_Jaladhulogori,Mouza_Name,0.001146474969573319
Flat,cat__nearest_facility_group_infrequent_sklearn,nearest_facility_group,0.0010816805297508836
Flat,cat__Mouza_Name_Jaynagar,Mouza_Name,0.001033774227835238
Flat,cat__nearest_facility_group_market,nearest_facility_group,0.0009993074927479029
Flat,cat__nearest_road_category_National Highway,nearest_road_category,0.000970067223533988
Flat,cat__Zone_no_0,Zone_no,0.0009354440262541175
Flat,cat__Mouza_Name_Jagatber,Mouza_Name,0.0008943661232478917
Flat,cat__Road_code_0154,Road_code,0.0008849683799780905
Flat,cat__Road_code_0167,Road_code,0.000881456770002842
Flat,cat__GP_DAKSHIN SANKRAIL/ SANKRAIL,GP,0.0008733298163861036
Flat,cat__Transaction_code_901,Transaction_code,0.0008096639649011195
Flat,num__property_match_found,property_match_found,0.0
Flat,num__spatial_features_available,spatial_features_available,0.0
Flat,num__geometry_missing_flag,geometry_missing_flag,0.0
Flat,num__Litigated_Property_flag,Litigated_Property_flag,0.0
Flat,cat__property_district_Name_Paschim Bardhaman,property_district_Name,0.0
Flat,cat__Mouza_Name_Alampur,Mouza_Name,0.0
Flat,cat__Mouza_Name_Argori,Mouza_Name,0.0
Flat,cat__Mouza_Name_Kulai,Mouza_Name,0.0
Flat,cat__Mouza_Name_Mashila,Mouza_Name,0.0
Flat,cat__Mouza_Name_Paniara,Mouza_Name,0.0
Flat,cat__Mouza_Name_Sankrailjala,Mouza_Name,0.0
Flat,cat__Mouza_Name_Satghoriya,Mouza_Name,0.0
Flat,cat__Mouza_Name_Sulati,Mouza_Name,0.0
Flat,cat__Road_Name_G.T. Road,Road_Name,0.0
Flat,cat__Road_Name_J. L. Neheru Avenue (Fuljhore),Road_Name,0.0
Flat,cat__Road_code_0054,Road_code,0.0
Flat,cat__Road_code_0166,Road_code,0.0
Flat,cat__Road_code_0352,Road_code,0.0
Flat,cat__Road_code_0420,Road_code,0.0
Flat,cat__Road_code_NA  ,Road_code,0.0
Flat,"cat__Transaction_Name_[0148] Sale, Agreement for sale made by any Central/State Govt Undertaking/Authority/SPV (Full SD)",Transaction_Name,0.0
Flat,cat__GP_ANDUL,GP,0.0
Flat,cat__GP_CHARA-PANCHLA/PANCHLA,GP,0.0
Flat,cat__GP_DURGAPUR (M CORP.),GP,0.0
Flat,cat__GP_SAHAPUR,GP,0.0
Flat,cat__GP_SUVARARA,GP,0.0
Flat,cat__Nature_Land_use_Code_   ,Nature_Land_use_Code,0.0
Flat,cat__Proposed_Land_use_Code_   ,Proposed_Land_use_Code,0.0
Flat,cat__Zone_no_infrequent_sklearn,Zone_no,0.0
Flat,cat__Urban_Yes,Urban,0.0
Flat,cat__Rural_No,Rural,0.0
Flat,cat__Rural_Yes,Rural,0.0
Flat,cat__Flat_or_Land_Flat,Flat_or_Land,0.0
Flat,cat__Litigated_Property_NO,Litigated_Property,0.0
Flat,cat__nearest_road_category_Missing,nearest_road_category,0.0
Flat,cat__nearest_road_category_infrequent_sklearn,nearest_road_category,0.0
Flat,cat__nearest_road_surface_Missing,nearest_road_surface,0.0
Flat,cat__nearest_facility_group_Missing,nearest_facility_group,0.0
Land,cat__Road_Name_Missing,Road_Name,0.19585120677947998
Land,num__Road_Name_target_mean,Road_Name_target_mean,0.12953655421733856
Land,cat__Road_code_0315,Road_code,0.05294952541589737
Land,num__Road_code_target_mean,Road_code_target_mean,0.04136219248175621
Land,cat__Zone_no_0,Zone_no,0.03248432278633118
Land,num__Adjacent_to_Metal_Road_flag,Adjacent_to_Metal_Road_flag,0.02462327480316162
Land,cat__Road_Name_Unassessed Road (Fuljhore),Road_Name,0.021643515676259995
Land,num__Approach_Road_Width,Approach_Road_Width,0.02124943397939205
Land,num__property_district_Name_target_mean,property_district_Name_target_mean,0.020176826044917107
Land,num__PS_Name_target_mean,PS_Name_target_mean,0.019099513068795204
Land,cat__Proposed_Land_use_Code_016,Proposed_Land_use_Code,0.018480485305190086
Land,cat__Proposed_Land_use_Name_Dokan,Proposed_Land_use_Name,0.014296429231762886
Land,cat__Proposed_Land_use_Name_Doba,Proposed_Land_use_Name,0.012874376028776169
Land,cat__Proposed_Land_use_Name_Other Commercial Usage,Proposed_Land_use_Name,0.010304532013833523
Land,cat__Proposed_Land_use_Name_Bagan,Proposed_Land_use_Name,0.009754696860909462
Land,cat__Proposed_Land_use_Name_Pukur,Proposed_Land_use_Name,0.009517773985862732
Land,cat__Proposed_Land_use_Code_003,Proposed_Land_use_Code,0.009298142977058887
Land,num__Zone_no_target_mean,Zone_no_target_mean,0.00801142118871212
Land,num__Mouza_Name_target_mean,Mouza_Name_target_mean,0.0075051747262477875
Land,cat__Proposed_Land_use_Code_018,Proposed_Land_use_Code,0.007382456678897142
Land,cat__Proposed_Land_use_Code_001,Proposed_Land_use_Code,0.006505565717816353
Land,cat__Road_code_infrequent_sklearn,Road_code,0.005925546865910292
Land,num__Area,Area,0.005502684973180294
Land,cat__Proposed_Land_use_Code_167,Proposed_Land_use_Code,0.005415808875113726
Land,cat__Road_Name_infrequent_sklearn,Road_Name,0.005295540206134319
Land,cat__Proposed_Land_use_Code_021,Proposed_Land_use_Code,0.005250540561974049
Land,cat__Adjacent_to_Metal_Road_N,Adjacent_to_Metal_Road,0.005232435651123524
Land,cat__Nature_Land_use_Name_Sali,Nature_Land_use_Name,0.00520961033180356
Land,num__presentation_year,presentation_year,0.004405182786285877
Land,cat__Proposed_Land_use_Name_Existing Industry/Karkhana,Proposed_Land_use_Name,0.0043915268033742905
Land,cat__Proposed_Land_use_Name_Developed Industrial Plots,Proposed_Land_use_Name,0.004369520116597414
Land,cat__Nature_Land_use_Name_Bastu,Nature_Land_use_Name,0.004344163462519646
Land,cat__Proposed_Land_use_Code_005,Proposed_Land_use_Code,0.004322555847465992
Land,cat__Proposed_Land_use_Code_004,Proposed_Land_use_Code,0.003946222830563784
Land,cat__Proposed_Land_use_Code_185,Proposed_Land_use_Code,0.003676996100693941
Land,cat__Proposed_Land_use_Code_898,Proposed_Land_use_Code,0.003549376968294382
Land,cat__Nature_Land_use_Code_052,Nature_Land_use_Code,0.003314766101539135
Land,cat__Is_Property_on_Road_Y,Is_Property_on_Road,0.0033135502599179745
Land,cat__Proposed_Land_use_Code_070,Proposed_Land_use_Code,0.003270203247666359
Land,num__registration_year,registration_year,0.0032462812960147858
Land,cat__Proposed_Land_use_Name_Industrial Use,Proposed_Land_use_Name,0.0031050231773406267
Land,cat__Nature_Land_use_Code_016,Nature_Land_use_Code,0.002988767344504595
Land,num__Rural_flag,Rural_flag,0.00293158320710063
Land,cat__Nature_Land_use_Name_Karkhana,Nature_Land_use_Name,0.002837696112692356
Land,cat__Nature_Land_use_Code_034,Nature_Land_use_Code,0.0026569219771772623
Land,cat__Proposed_Land_use_Code_897,Proposed_Land_use_Code,0.0026246013585478067
Land,cat__Proposed_Land_use_Name_Bastu,Proposed_Land_use_Name,0.0025657652877271175
Land,cat__Nature_Land_use_Name_Dokan,Nature_Land_use_Name,0.002518303459510207
Land,cat__Nature_Land_use_Name_Shali,Nature_Land_use_Name,0.002508322009816766
Land,cat__Proposed_Land_use_Code_017,Proposed_Land_use_Code,0.0024335472844541073
Land,cat__Proposed_Land_use_Name_Danga,Proposed_Land_use_Name,0.002413258422166109
Land,cat__Proposed_Land_use_Code_901,Proposed_Land_use_Code,0.0023605814203619957
Land,cat__Proposed_Land_use_Name_Sali,Proposed_Land_use_Name,0.002254180610179901
Land,cat__Nature_Land_use_Name_Bagan,Nature_Land_use_Name,0.002025892725214362
Land,cat__Proposed_Land_use_Name_Baid,Proposed_Land_use_Name,0.002016420243307948
Land,"cat__Transaction_Name_[0138] Sale, Development Power of Attorney after Registered Development Agreement",Transaction_Name,0.002014339668676257
Land,cat__Mouza_Name_Katrapota,Mouza_Name,0.001977399457246065
Land,cat__Nature_Land_use_Code_001,Nature_Land_use_Code,0.0019031987758353353
Land,cat__Nature_Land_use_Code_010,Nature_Land_use_Code,0.0019030789844691753
Land,cat__nearest_road_category_District Road,nearest_road_category,0.0018938689026981592
Land,cat__property_district_Name_Purba Bardhaman,property_district_Name,0.0018911611987277865
Land,cat__Nature_Land_use_Code_infrequent_sklearn,Nature_Land_use_Code,0.0018138187006115913
Land,cat__Road_Name_UMR W26,Road_Name,0.0017817256739363074
Land,cat__Nature_Land_use_Name_Baid,Nature_Land_use_Name,0.001769739086739719
Land,cat__Is_Property_on_Road_N,Is_Property_on_Road,0.0017368642147630453
Land,cat__Mouza_Name_Mirjapur,Mouza_Name,0.0017330534756183624
Land,cat__Proposed_Land_use_Code_infrequent_sklearn,Proposed_Land_use_Code,0.0017292542615905404
Land,cat__Proposed_Land_use_Code_007,Proposed_Land_use_Code,0.0016837712610140443
Land,num__Urban_flag,Urban_flag,0.0016821692697703838
Land,cat__Proposed_Land_use_Code_010,Proposed_Land_use_Code,0.0016397549770772457
Land,cat__Proposed_Land_use_Code_156,Proposed_Land_use_Code,0.0016280029667541385
Land,num__Is_Property_on_Road_flag,Is_Property_on_Road_flag,0.001609558705240488
Land,cat__Nature_Land_use_Name_Shuna,Nature_Land_use_Name,0.00157493120059371
Land,cat__Road_code_0019,Road_code,0.0015344127314165235
